"Jahr";"Ebene";"kkname";"kkkoe";"kgname";"kgkoe";"ggfest";"dggfest";"gg";"dgg";"ggfr";"gg13";"gg14";"gg15";"ggzug";"gebu";"einwohn"
2021;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Paulus";"1902218";3195;-3.50;3195;-3.45;1782;4;10;9;335;26;
2014;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Petri";"1902219";3404;;3388;;1918;16;27;25;43;22;
2015;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Petri";"1902219";3319;-2.50;3319;-2.04;1883;22;20;25;47;29;
2016;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Petri";"1902219";3252;-2.02;3248;-2.14;1843;15;20;20;50;25;
2017;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Petri";"1902219";3188;-1.97;3192;-1.72;1800;16;18;22;50;29;
2018;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Petri";"1902219";3086;-3.20;3088;-3.26;1721;13;17;18;58;33;
2019;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Petri";"1902219";2961;-4.05;2960;-4.15;1660;12;14;18;67;32;
2020;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Petri";"1902219";2865;-3.24;2865;-3.21;1624;6;12;13;64;17;
2021;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Petri";"1902219";2733;-4.61;2732;-4.64;1547;12;7;14;63;34;
2014;"Kirchengemeinden";"Bielefeld";"19022";"KG Stieghorst-Hillegossen";"1902221";6332;;6302;;3562;40;53;48;39;54;
2015;"Kirchengemeinden";"Bielefeld";"19022";"KG Stieghorst-Hillegossen";"1902221";6135;-3.11;6135;-2.65;3477;48;42;51;40;33;
2016;"Kirchengemeinden";"Bielefeld";"19022";"KG Stieghorst-Hillegossen";"1902221";6009;-2.05;6001;-2.18;3383;35;50;43;42;24;
2017;"Kirchengemeinden";"Bielefeld";"19022";"KG Stieghorst-Hillegossen";"1902221";5850;-2.65;5857;-2.40;3313;35;37;52;39;62;
2018;"Kirchengemeinden";"Bielefeld";"19022";"KG Stieghorst-Hillegossen";"1902221";5622;-3.90;5625;-3.96;3195;25;38;38;41;58;
2019;"Kirchengemeinden";"Bielefeld";"19022";"KG Stieghorst-Hillegossen";"1902221";5403;-3.90;5401;-3.98;3054;40;27;37;48;59;
2020;"Kirchengemeinden";"Bielefeld";"19022";"KG Stieghorst-Hillegossen";"1902221";5199;-3.78;5195;-3.81;2974;25;37;28;47;48;
