"kgkoe";"ggfest";"dggfest"
"1902515";13.024;-2,84
"1902515";12.846;-1,37
"1902515";12.535;-2,42
"1902515";12.190;-2,75
"1902515";11.808;-3,13
"1902516";7.541;-4,22
"1902516";7.093;-5,94
"1902516";6.619;-6,68
"1902516";6.351;-4,05
"1902516";6.014;-5,31
"1902516";5.855;-2,64
"1902516";5.504;-5,99
"1902517";14.379;-2,81
"1902517";14.053;-2,27
"1902517";13.646;-2,90
"1902517";13.331;-2,31
"1902517";12.982;-2,62
"1902517";12.698;-2,19
"1902517";12.326;-2,93
"1902518";3.172;-0,78
"1902518";3.112;-1,89
"1902518";3.051;-1,96
"1902518";3.124;2,39
"1902518";3.044;-2,56
"1902518";2.910;-4,40
"1902518";2.873;-1,27
"1902519";7.684;-2,70
"1902519";7.611;-0,95
"1902519";7.420;-2,51
"1902519";7.324;-1,29
"1902519";7.189;-1,84
"1902519";7.044;-2,02
"1902519";6.819;-3,19
"1902520";2.276;-0,83
"1902520";2.229;-2,07
"1902520";2.177;-2,33
"1902520";2.127;-2,30
"1902520";2.111;-0,75
"1902520";2.049;-2,94
"1902520";1.971;-3,81
"1902521";3.475;-2,00
"1902521";3.468;-0,20
"1902521";3.386;-2,36
"1902521";3.427;1,21
"1902521";3.381;-1,34
"1902521";3.337;-1,30
"1902521";3.295;-1,26
"1902522";6.571;-2,25
"1902522";6.324;-3,76
"1902522";6.088;-3,73
"1902522";5.865;-3,66
"1902522";5.606;-4,42
"1902522";5.399;-3,69
"1902522";5.236;-3,02
"1902523";7.105;-1,37
"1902523";7.009;-1,35
"1902523";6.970;-0,56
"1902523";6.932;-0,55
"1902523";6.792;-2,02
"1902523";6.724;-1,00
"1902523";6.667;-0,85
"1902524";924;-4,25
"1902524";909;-1,62
"1902524";912;0,33
"1902524";884;-3,07
"1902524";815;-7,81
"1902524";783;-3,93
"1902524";727;-7,15
"1902525";7.949;-2,37
"1902525";7.915;-0,43
"1902525";7.745;-2,15
"1902525";7.655;-1,16
"1902525";7.385;-3,53
"1902525";7.209;-2,38
"1902525";7.006;-2,82
"1902526";13.891;-1,92
"1902526";13.656;-1,69
"1902526";13.108;-4,01
"1902526";13.000;-0,82
"1902526";12.541;-3,53
"1902526";12.221;-2,55
"1902526";11.904;-2,59
"1902527";4.119;-1,55
"1902527";4.067;-1,26
"1902527";4.001;-1,62
"1902527";3.927;-1,85
"1902527";3.818;-2,78
"1902527";3.748;-1,83
"1902527";3.680;-1,81
"1902528";7.647;-1,72
"1902528";7.599;-0,63
"1902528";7.288;-4,09
"1902528";7.222;-0,91
"1902528";7.085;-1,90
"1902528";6.938;-2,07
"1902528";6.799;-2,00
"1902529";5.209;-1,96
"1902529";5.053;-2,99
"1902529";4.880;-3,42
"1902529";4.733;-3,01
"1902529";4.633;-2,11
"1902529";4.528;-2,27
"1902529";4.446;-1,81
"1902530";9.801;-2,06
"1902530";9.562;-2,44
"1902530";9.278;-2,97
"1902530";9.049;-2,47
"1902530";8.757;-3,23
"1902530";8.533;-2,56
"1902530";8.350;-2,14
"1903004";2.412;-2,74
"1903004";2.359;-2,20
"1903004";2.225;-5,68
"1903004";2.134;-4,09
"1903004";2.079;-2,58
"1903004";2.056;-1,11
"1903004";1.955;-4,91
"1903022";2.212;-1,60
"1903022";2.167;-2,03
"1903022";2.114;-2,45
"1903022";2.058;-2,65
"1903022";1.972;-4,18
"1903022";1.999;1,37
"1903022";1.938;-3,05
"1903023";12.007;-2,47
"1903023";11.793;-1,78
"1903023";11.521;-2,31
"1903023";11.478;-0,37
"1903023";11.241;-2,06
"1903023";11.177;-0,57
"1903023";10.805;-3,33
"1903024";14.646;-2,05
"1903024";14.344;-2,06
"1903024";13.841;-3,51
"1903024";13.858;0,12
"1903024";13.436;-3,05
"1903024";13.189;-1,84
"1903024";12.728;-3,50
"1903025";14.601;-3,13
"1903025";14.242;-2,46
"1903025";13.336;-6,36
"1903025";13.297;-0,29
"1903025";12.840;-3,44
"1903025";12.545;-2,30
"1903025";12.001;-4,34
"1903026";13.987;-3,10
"1903026";13.695;-2,09
"1903026";13.326;-2,69
"1903026";13.039;-2,15
"1903026";12.182;-6,57
"1903026";12.046;-1,12
"1903026";11.585;-3,83
"1903027";18.366;-1,58
"1903027";17.884;-2,62
"1903027";17.600;-1,59
"1903027";17.157;-2,52
"1903027";16.627;-3,09
"1903027";16.254;-2,24
"1903027";15.819;-2,68
"1903028";10.242;-2,69
"1903028";10.025;-2,12
"1903028";9.686;-3,38
"1903028";9.475;-2,18
"1903028";9.286;-1,99
"1903028";9.107;-1,93
"1903028";8.757;-3,84
"1903106";3.565;-1,52
"1903106";3.538;-0,76
"1903106";3.470;-1,92
"1903106";3.462;-0,23
"1903106";3.392;-2,02
"1903106";3.329;-1,86
"1903106";3.280;-1,47
"1903112";6.422;-1,37
"1903112";6.366;-0,87
"1903112";6.298;-1,07
"1903112";6.211;-1,38
"1903112";6.136;-1,21
"1903112";6.078;-0,95
"1903112";5.956;-2,01
"1903117";7.226;-0,95
"1903117";7.146;-1,11
"1903117";7.054;-1,29
"1903117";6.911;-2,03
"1903117";6.704;-3,00
"1903117";6.549;-2,31
"1903117";6.443;-1,62
"1903118";19.193;-1,72
"1903118";18.784;-2,13
"1903118";18.431;-1,88
"1903118";17.860;-3,10
